StationKey,Type,LocationName,ID,Zip,ZipID,Latitude,Longitude,City,State,Country,AirportRank
IKKA,Station,IKKZJ,IKKZJ,60948,ZIP: 60948,40.52548,-88.08197,LODA,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60949,ZIP: 60949,40.38216,-88.10289,LUDLOW,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60950,ZIP: 60950,41.25119,-87.88445,MANTENO,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60951,ZIP: 60951,40.92138,-87.75109,MARTINTON,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60952,ZIP: 60952,40.56446,-88.25279,MELVIN,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60953,ZIP: 60953,40.62992,-87.68812,MILFORD,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60954,ZIP: 60954,41.15338,-87.62902,MOMENCE,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60955,ZIP: 60955,40.69739,-87.97654,ONARGA,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60956,ZIP: 60956,null,null,PAPINEAU,null,United States,null
CMIA,Station,CMIA,CMIA,60957,ZIP: 60957,40.44296,-88.13624,PAXTON,Illinois,United States,null
IKKA,Station,IKKA,IKKA,60958,ZIP: 60958,41.06492,-87.59135,PEMBROKE TOWNSHIP,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60959,ZIP: 60959,40.78971,-88.182,PIPER CITY,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60960,ZIP: 60960,40.43873,-87.88999,CLARENCE,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60961,ZIP: 60961,41.10651,-88.23084,REDDICK,Illinois,United States,null
IKKA,Station,IKKZJ,IKKZJ,60962,ZIP: 60962,40.62283,-88.18445,ROBERTS,Illinois,United States,null
CMIA,Station,CMIA,CMIA,60963,ZIP: 60963,40.36667,-87.6485,ROSSVILLE,Illinois,United States,null
